strategy,status,avg_hold_min,best_trade_pct,losses,max_drawdown_pct,profit_factor,sharpe_ratio,total_pnl_usd,total_return_pct,total_trades,win_rate_pct,wins,worst_trade_pct,wr_ci_lower_pct
adaptive_trend_with_kaufman_moving_avera,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
adx_macd_momentum,TESTED,20.7,2.47,1460,47.03,0.498,-0.55,-4685.12,-46.85,2117,31.03,657,-1.98,29.09
adx_rising_macd,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
adx_trend_vs_chop_classification,TESTED,20.0,3.39,5589,52.33,0.54,-2.56,-5228.91,-52.29,8688,35.67,3099,-2.16,34.67
aggressive_maker_order_management,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
ai_swarm_long_only_dip_entry,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
ai_swarm_whale_following_on_polymarket,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
airdrop_volume_farming_via_high_leverage,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
atr_stop_hunt_counter_trade,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
bb_adx_trend_breakout,TESTED,12.9,2.5,4057,50.91,0.4944,-2.32,-5091.25,-50.91,5263,22.91,1206,-2.07,21.79
bb_squeeze_adx,TESTED,59.8,3.37,766,43.66,0.678,-1.98,-4333.68,-43.34,1275,39.92,509,-2.74,37.26
bb_squeeze_breakout,TESTED,10.1,2.33,1583,46.43,0.4243,-0.78,-4628.78,-46.29,2194,27.85,611,-1.0,26.0
bollinger_band_mean_reversion,TESTED,19.9,3.47,2394,44.41,0.6268,2.71,-4437.16,-44.37,4025,40.52,1631,-2.2,39.01
bollinger_band_sma_bounce,TESTED,20.0,3.15,3722,48.83,0.5918,-0.94,-4878.65,-48.79,5732,35.07,2010,-1.98,33.84
bollinger_bands_capitulation_filter,TESTED,20.0,3.15,3728,47.34,0.6089,-0.42,-4734.11,-47.34,5730,34.94,2002,-1.78,33.71
consecutive_bars_reversal,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
