strategy,status,avg_hold_min,best_trade_pct,losses,max_drawdown_pct,profit_factor,sharpe_ratio,total_pnl_usd,total_return_pct,total_trades,win_rate_pct,wins,worst_trade_pct,wr_ci_lower_pct
adaptive_trend_with_kaufman_moving_avera,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
adx_macd_momentum,TESTED,21.0,1.18,311,18.72,0.4302,-3.43,-1842.9,-18.43,431,27.84,120,-1.01,23.77
adx_rising_macd,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
adx_trend_vs_chop_classification,TESTED,20.0,1.8,1087,42.32,0.466,-1.45,-4150.19,-41.5,1674,35.07,587,-1.37,32.81
aggressive_maker_order_management,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
ai_swarm_long_only_dip_entry,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
ai_swarm_whale_following_on_polymarket,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
airdrop_volume_farming_via_high_leverage,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
atr_stop_hunt_counter_trade,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
bb_adx_trend_breakout,TESTED,13.0,1.7,793,28.43,0.4444,1.19,-2818.27,-28.18,1010,21.49,217,-0.66,19.04
bb_squeeze_adx,TESTED,60.0,1.83,130,11.71,0.7117,0.91,-854.14,-8.54,225,42.22,95,-1.19,35.9
bb_squeeze_breakout,TESTED,9.8,0.77,313,19.71,0.2859,-5.85,-1927.07,-19.27,413,24.21,100,-0.57,20.27
bollinger_band_mean_reversion,TESTED,20.0,1.34,450,23.04,0.5456,3.65,-2288.22,-22.88,762,40.94,312,-1.59,37.49
bollinger_band_sma_bounce,TESTED,20.0,1.9,739,32.54,0.5042,0.36,-3199.88,-32.0,1105,33.12,366,-1.42,30.39
bollinger_bands_capitulation_filter,TESTED,20.0,1.9,743,32.77,0.5071,0.8,-3181.27,-31.81,1105,32.76,362,-1.27,30.04
consecutive_bars_reversal,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
consecutive_down_reversal,TESTED,6.2,0.42,288,14.55,0.2232,0.32,-1439.82,-14.4,414,30.43,126,-1.13,26.15
consolidation_breakout,TESTED,16.0,1.87,760,34.96,0.4098,-4.82,-3473.48,-34.73,1079,29.56,319,-1.5,26.9
copy_trading_with_sma_trend_filter,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
cricket_ipl_psl_stink_bid_bot,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
cross_exchange_delta_neutral_arbitrage,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
dca_pop,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
direction_strength_speed_to_fill_scalpin,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
dual_sma_trend_following_with_pullback_e,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
edge_market_time_arbitrage,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
end_of_period_close_bot,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
gradual_position_exit,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
graduated_position_sizing,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
hidden_markov_model_regime_detection,TESTED,20.0,1.8,1087,42.32,0.466,-1.45,-4150.19,-41.5,1674,35.07,587,-1.37,32.81
housecoin_100x_smart_accumulation_bot,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
intraday_bollinger_with_adx_confirmation,TESTED,20.0,1.9,743,32.77,0.5071,0.8,-3181.27,-31.81,1105,32.76,362,-1.27,30.04
intraday_parabolic_short,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
iv_surface_reconstruction,TESTED,20.0,1.8,779,36.2,0.4637,-2.46,-3604.18,-36.04,1162,32.96,383,-1.34,30.3
kalman_bb_breakout,TESTED,24.0,1.57,326,19.1,0.5436,-0.01,-1862.11,-18.62,513,36.45,187,-1.14,32.37
kalman_filter_enhancement_layer,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
kalshi_whale_scanner,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
macd_6_25_high_threshold_momentum,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
macd_ema_crossover,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
market_regime_based_strategy_selection,TESTED,20.0,1.8,1087,42.32,0.466,-1.45,-4150.19,-41.5,1674,35.07,587,-1.37,32.81
markov_down_bars,TESTED,1.9,0.33,925,30.63,0.0706,2.18,-3063.01,-30.63,1048,11.74,123,-1.15,9.89
mean_reversion_algorithm_with_fixed_risk,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
